case,category,filename,code
case-01,original,case-01/original/T1.java,"public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L2/03/WelcomeToJava.java,"public class WelcomeToJava { public static void main(String[] args) { { System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); System.out.println(""Welcome To Java""); } } }"
case-01,plagiarized,case-01/plagiarized/L2/05/PrintJava.java,"public class PrintJava { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L2/02/Main.java,"public class Main { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L2/01/L2.java,"public class L2 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L2/04/hellow.java,"public class hellow { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/03/Main.java,"public class Main { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/05/HelloWorld.java,"class HelloWorld { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/02/Main.java,"public class Main { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/09/Level1.java,"public class Level1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/01/L1.java,"public class L1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/06/HelloWorld.java,"public class HelloWorld { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/04/T1.java,"public class T1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/07/Main.java,"public class Main { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L1/08/Kasus1L1.java,"public class Kasus1L1 { public static void main(String[] args) { System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); System.out.println(""Welcome to Java""); } }"
case-01,plagiarized,case-01/plagiarized/L6/03/Main.java,"public class Main { public static void main(String[] args) { cetak(); } public static void cetak(){ for (int i = 5; i > -1; i--) { System.out.println(""Welcome to Java""); } } }"
case-01,plagiarized,case-01/plagiarized/L6/05/HelloWorld.java,"class HelloWorld { static String s; static void Cetak() { for(int a=5;a>0;a--) System.out.println(s); } public static void main(String[] args) { s = ""Welcome to Java""; Cetak(); } }"
case-01,plagiarized,case-01/plagiarized/L6/02/Main.java,"public class Main { public static void main(String[] args) { String java=""Welcome To Java""; for(int baris=9;baris>=0;baris-=2){ System.out.print(java); System.out.println(); } } }"
case-01,plagiarized,case-01/plagiarized/L6/09/Level6.java,"public class Level6 { public static void main(String[] args) { String input = ""Welcome to Java\n""; keluaran(input); } private static void keluaran(String kal) { int limit=0; while(limit!=5) { System.out.print(kal); limit++; } } }"
case-01,plagiarized,case-01/plagiarized/L6/01/L6.java,"public class L6 { public static void print() { for (int i = 5; i > 0; i--) { System.out.print(""Welcome to Java\n""); } } public static void main(String[] args) { print(); } }"
case-01,plagiarized,case-01/plagiarized/L6/06/hellow.java,"public class hellow { public static void main(String[] args) { printHello(); } private static void printHello() { System.out.print(""Welcome to Java \n""); System.out.print(""Welcome to Java \n""); System.out.print(""Welcome to Java \n""); System.out.print(""Welcome to Java \n""); System.out.print(""Welcome to Java \n""); } }"
case-01,plagiarized,case-01/plagiarized/L6/04/WelcomeToJava.java,"public class WelcomeToJava { public static String test(int i) { if(i>0) { System.out.println(""Welcome To Java""); return test(--i); } else return """"; } public static void main(String[] args) { int i=5; test(i); } }"
